#Position (bp)	Coverage
5.7270758E7	26.41211600876765
5.8039493E7	27.988240420951303
5.85039505E7	26.006773629666625
5.8888318E7	13.82225764310539
5.9576963E7	14.637387396176836
6.0345698E7	14.318514182390551
6.1114433E7	17.426853206891842
6.1883168E7	17.196386270951628
6.2651903E7	18.691409913689373
6.3087631E7	14.00349490367111
6.34719985E7	9.975150672508386
6.4189373E7	17.49839281416873
6.4958108E7	16.183004546430173
6.5726843E7	17.227041828458443
6.6495578E7	15.741611868849473
6.7140034E7	12.594318856850649
6.75244015E7	27.765849419451396
6.8033048E7	24.251595153076156
6.8801783E7	23.8168107345184
6.9570518E7	21.43342244076307
7.0339253E7	20.762496829206423
7.11040115E7	17.473822987399807
7.1488379E7	19.639004149377595
7.1876723E7	23.767636441686665
7.2645458E7	30.23929702693386
7.3414193E7	33.77804835216297
7.4182928E7	31.10302640051513
7.4951663E7	28.59153544459404
7.5358208E7	21.79012512681772
7.57425755E7	17.74406388911897
7.6489133E7	27.280741738050175
7.7257868E7	23.344422980611004
7.8026603E7	24.464991186819905
7.8795338E7	22.137407559171887
7.92080895E7	16.21334202367531
7.9592457E7	24.348575144634513
8.0332808E7	17.634961332578847
8.1101543E7	21.283656916882933
8.1870278E7	19.840828113719294
8.26063115E7	17.239788606234324
8.2990679E7	13.385762121003623
8.3407748E7	15.606662894235335
8.4176483E7	13.617738232290712
8.4945218E7	16.1140627134188
8.5713953E7	15.903147378485434
8.6362088E7	15.507905636592833
8.67464555E7	8.851965174129353
8.7251423E7	16.269922665157694
8.8020158E7	16.20877545578125
8.8788893E7	14.441703577955993
8.9557628E7	17.047758980663037
9.0098611E7	12.692737947393457
9.04829785E7	23.85091898205065
9.1095098E7	24.78925897741094
9.1863833E7	25.99156926639219
9.2632568E7	24.7545526091566
9.3401303E7	22.025683753178924
9.38242175E7	23.449178924429916
9.4208585E7	15.80464431692164
9.4938773E7	17.125735136295344
9.5707508E7	16.876266853987396
9.6476243E7	16.294141674309092
9.71220675E7	13.75941168146196
9.7506435E7	20.627061967854658
9.8013713E7	22.680209695148523
9.8782448E7	17.358978061360546
9.9551183E7	14.497765810064587
1.00269334E8	12.989380841173995
1.006537015E8	6.16683140914123
1.01088653E8	15.124806337684637
1.01857388E8	17.226753042335787
1.02626123E8	15.741057711695188
1.033545365E8	24.64308115775216
1.03738904E8	9.758305122577285
1.04163593E8	10.478780073757537
1.04932328E8	12.471704813752464
1.05701063E8	9.067358712690329
1.06347158E8	8.461573583211546
1.067315255E8	22.51660551206784
1.07238533E8	15.875459033346992
1.08007268E8	15.596071468061165
1.08776003E8	20.480304656351016
1.09309377E8	23.017277769761723
1.096937445E8	27.56902587939378
1.10313473E8	26.49150747656865
1.11082208E8	31.32330517018218
1.11850943E8	42.1608837896024
1.12235708E8	33.12075471698113
1.126200755E8	9.327500846420293
1.13388413E8	11.51817206189389
1.14157148E8	12.942940024846013
1.147696095E8	11.505760782835146
1.15153977E8	12.47168585844689
1.15694618E8	11.297601904427404
1.16463353E8	12.509420021203665
1.17232088E8	15.173364033119345
1.17668795E8	25.924321019497704
1.180531625E8	29.10676057440939
1.18769558E8	32.30009561162169
1.19538293E8	30.765451033190892
1.2014897E8	25.92534780908446
1.205333375E8	19.231857925571624
1.21075763E8	16.43653274535438
1.21844498E8	18.296397328077948
1.225916085E8	17.985343617933356
1.22975976E8	25.19158824481491
1.23381968E8	24.77034608805375
1.24150703E8	23.8943693210274
1.24919438E8	17.184894664611342
1.253769895E8	14.149144621775251
1.25761357E8	14.181651662122189
1.26456908E8	14.077704280408723
1.27225643E8	16.533372358485042
1.277254535E8	14.435946744280727
1.28109821E8	15.234930249940039
1.28763113E8	16.49101315798032
1.29531848E8	18.806769562983344
1.300272615E8	14.963046845451435
1.30411629E8	14.276679661131672
1.31069318E8	17.19415663395058
1.31838053E8	15.620684631244837
1.322676755E8	20.041796486576068
1.32652043E8	13.962118765896273
1.33375523E8	18.763566118363286
1.34030498E8	12.547771218462163
1.344148655E8	6.053665611814346
1.34912993E8	16.38679388866124
1.35681728E8	15.188763357984222
1.361569665E8	11.010834039462535
1.36541334E8	10.838475075511974
1.37219198E8	12.93460685411748
1.37895604E8	13.920421451281252
1.382799715E8	8.210475581886515
1.38756668E8	11.486608519190618
1.39525403E8	11.05551457914626
1.400102465E8	11.882573948007485
1.40394614E8	10.452015999070067
1.41062873E8	18.461646731318336
1.417121025E8	10.146536687029473
1.4209647E8	17.22156720820381
1.42600343E8	16.625985547685485
1.43369078E8	17.20561181681594
1.437831155E8	23.47684529828109
1.44167483E8	17.045227271125395
1.44906548E8	11.75917969131105
1.45465214E8	6.359618700103558
1.458495815E8	15.136821710961636
1.46444018E8	15.477248986972103
1.47106683E8	15.026557910150109
1.474910505E8	14.52423399641746
1.47981488E8	12.508397562228856
1.48737048E8	9.06157451995932
1.491214155E8	14.640607210626186
1.49518958E8	21.621666764229545
1.50287693E8	21.922592310744275
1.50728883E8	24.369783096484667
1.511132505E8	16.483037445236533
1.51825163E8	18.43903685925579
1.52332369E8	13.78377707314889
1.527167365E8	30.510993044748382
1.53362633E8	27.31874573162403
1.5389724E8	22.357392696328198
1.542816075E8	6.941726320645118
1.54900103E8	7.305910359226521
1.55461321E8	6.797006511149248
1.558456885E8	25.940961463398178
1.56437573E8	25.813771976038556
1.57018682E8	23.532373698482527
1.574030495E8	9.225195335401278
1.57975043E8	21.6952317768802
1.585640605E8	29.40401172733936
1.58948428E8	18.44072224463394
1.59512513E8	24.951101484907024
1.6009777E8	26.147489042483553
1.604821375E8	6.482709098638529
1.61049983E8	9.851872231653301
1.616289075E8	18.02794553781154
1.62013275E8	25.56248468867634
1.62587453E8	14.03618802318094
