#Position (bp)	Coverage
1.322676755E8	23.620970058557067
1.32652043E8	16.797301780382618
1.33375523E8	21.804192602132073
1.34030498E8	15.526918137893443
1.344148655E8	6.829122714486639
1.34912993E8	17.900204882046477
1.35681728E8	17.181793465888767
1.361569665E8	13.84252401756336
1.36541334E8	12.797234379285614
1.37219198E8	14.439313937832933
1.37895604E8	16.8136598427947
1.382799715E8	9.168359886926101
1.38756668E8	11.829192114317678
1.39525403E8	12.285736957469089
1.400102465E8	13.937990166806003
1.40394614E8	11.555923653931167
1.41062873E8	20.039551991258367
1.417121025E8	12.820878419705355
1.4209647E8	20.168406475015793
1.42600343E8	19.160290607296403
1.43369078E8	20.229637001047173
1.437831155E8	23.74366363329963
1.44167483E8	21.327762389078018
1.44906548E8	13.887841713984663
1.45465214E8	7.288361632486797
1.458495815E8	18.701345748301748
1.46444018E8	18.25999076404743
1.47106683E8	18.259132762601173
1.474910505E8	17.15789101536721
1.47981488E8	12.125818389952324
1.48737048E8	10.600615583558396
1.491214155E8	14.215180265654649
1.49518958E8	24.26193161492582
1.50287693E8	24.38066043565078
1.50728883E8	27.090941088477276
1.511132505E8	18.81166862568502
1.51825163E8	21.651583445530644
1.52332369E8	17.29582337784978
1.527167365E8	33.87758336551587
1.53362633E8	30.707740638841734
1.5389724E8	23.986088878091316
1.542816075E8	7.98871557438666
1.54900103E8	8.283626997599953
1.55461321E8	8.341488997769302
1.558456885E8	29.38716587074794
1.56437573E8	27.63789472314907
1.57018682E8	28.51740481799722
1.574030495E8	10.23117798172961
1.57975043E8	24.64978308519841
1.585640605E8	31.56626679697044
1.58948428E8	22.746229499074936
1.59512513E8	28.791058036904786
1.6009777E8	30.861956448694432
1.604821375E8	7.426181885566662
1.61049983E8	10.819011753074857
1.616289075E8	20.304663928822915
1.62013275E8	29.47445478516731
1.62587453E8	15.543129947251003
1.631586895E8	11.579935676864542
1.63543057E8	22.66782026192604
1.64124923E8	21.815457862592442
1.64685819E8	15.190751068524346
1.650701865E8	17.353150756114108
1.65662393E8	19.71600096262041
1.66204869E8	21.379688631540997
1.665892365E8	6.152650281314776
1.67199863E8	18.358847977521513
1.67707403E8	5.747277192555156
1.680917705E8	26.32130017802791
1.68737333E8	19.184114161577135
1.69197014E8	13.577067856360413
1.695813815E8	17.01841263986229
1.70274803E8	13.349018842644083
1.706842435E8	10.330355362341962
1.71068611E8	10.541987144250747
1.717757825E8	7.933213463379298
1.7216015E8	17.511763335662707
1.72581008E8	24.934707018673535
1.732448375E8	27.495158554651436
1.73629205E8	20.18756881193074
1.74118478E8	16.02476406043695
1.7470787E8	9.892459193901217
1.750922375E8	13.523753366454224
1.75655948E8	20.60911367376274
1.761671155E8	23.772988958990535
1.76551483E8	18.366624282954955
1.77193418E8	21.2483430571003
1.775981795E8	24.521722075120135
1.77982547E8	33.92195036177084
1.786433205E8	34.62474393530997
1.79027688E8	15.903765666485853
1.79499623E8	10.675820666419508
1.80059845E8	22.85563064920147
1.804442125E8	20.037767429368913
1.81037093E8	21.527478259738402
1.814629515E8	8.44095104962522
1.81847319E8	8.70565349331319
1.824697645E8	8.794463978481161
1.82854132E8	18.787306116022652
1.83343298E8	12.28509954665782
1.83845386E8	20.741306739268012
1.842297535E8	6.167717994202072
1.848263935E8	18.597771770916353
1.85210761E8	13.98587573219064
1.85649503E8	23.603518767845877
1.861815255E8	28.43592157393925
1.86565893E8	12.122304483286687
1.871516995E8	15.067647968741943
1.87536067E8	20.760684366450736
1.87955708E8	19.155641410889316
1.88487033E8	14.252576425156933
1.888714005E8	13.16667158080957
1.89437117E8	18.066095249408708
1.898214845E8	26.260243306398387
